,CANDIDATE_ID,CANDIDATE_NAME,PARTY,PARTY_CODE,CANDIDATE_OFFICE,CANDIDATE_OFFICE_CODE,CANDIDATE_OFFICE_STATE,CANDIDATE_OFFICE_STATE_CODE,CANDIDATE_OFFICE_DISTRICT,CITY,STATE,ZIP,ELECTION_YEAR,RECEIPT_DATE,REPORT_YEAR,BEGIN_IMAGE_NUMBER
0,H8DC00192,"CHEEKS, JOHN C",Independent American Party,IAP,House,H,District Of Columbia,DC,0.0,WASHINGTON,DC,20007.0,2018,18-OCT-18,2018,201810180300238682
1,H8NJ07256,"MOXLEY, DIANE",Green Party,GRE,House,H,New Jersey,NJ,7.0,GARWOOD,NJ,7027.0,2018,17-OCT-18,2018,201810170300237429
2,S8RI00177,"COSTA, MICHAEL",Independent,IND,Senate,S,Rhode Island,RI,0.0,BRISTOL,RI,28099998.0,2018,16-OCT-18,2018,201810169125548990
3,H8PA16094,"BEEMAN, EBERT GORDAN",Libertarian Party,LIB,House,H,Pennsylvania,PA,16.0,ERIE,PA,16510.0,2018,13-OCT-18,2018,201810139124739087
4,H8MD04239,"BISHOP, DAVID ANTHONY DARK HORSE",Libertarian Party,LIB,House,H,Maryland,MD,4.0,ARNOLD,MD,21012.0,2018,12-OCT-18,2018,201810129124516955
5,S8ME00171,"RILEY JR, JAMES N",Unknown,,Senate,S,Maine,ME,0.0,,,,2018,11-OCT-18,2018,201810160300236604
6,H8NY14133,"PAPPAS, ANTHONY",Republican Party,REP,House,H,New York,NY,14.0,ASTORIA,NY,11102.0,2018,10-OCT-18,2018,201810100300232459
7,S8WV00184,"HALL, JUSTIN HAYWARD",Independent American Party,IAP,Senate,S,West Virginia,WV,0.0,CHARLESTON,WV,25314.0,2018,09-OCT-18,2018,201810099124416055
8,H8NM03246,"MANNING, CHRISTOPHER",Libertarian Party,LIB,House,H,New Mexico,NM,3.0,KIRKLAND,NM,874179310.0,2018,04-OCT-18,2018,201810049124298864
9,H4NY07102,"KURZON, JEFFREY M",Democratic Party,DEM,House,H,New York,NY,7.0,NEW YORK,NY,10002.0,2018,02-OCT-18,2018,201810029124273533
10,H8WV02123,"LUTZ JR, DANIEL P 'DANNY'",Mountain Party,MTP,House,H,West Virginia,WV,2.0,CHARLES TOWN,WV,254144643.0,2018,01-OCT-18,2018,201810010300230359
11,H8TN05302,"WEAVER, MARSHAL",Write-In,W,House,H,Tennessee,TN,5.0,NASHVILLE,TN,37206.0,2018,25-SEP-18,2018,201809259124242323
12,H8DE01051,"WEBB, ANDREW C",Write-In,W,House,H,Delaware,DE,0.0,SEAFORD,DE,19973.0,2018,23-SEP-18,2018,201809239124235539
13,S8NY00231,"TEMURI, PRINCE MUHAMMAD ALI HH",Independent,IND,Senate,S,New York,NY,0.0,NEW YORK,NY,10001.0,2018,22-SEP-18,2018,201809229124232229
14,S8OH00144,"FARIS, STEPHEN I MR",Unknown,,Senate,S,Ohio,OH,0.0,FAIRBORN,OH,45324.0,2018,21-SEP-18,2018,201809280200744160
15,H8CO06294,"KULIKOWSKI, JAIMIE - NONE -",Natural Law Party,NLP,House,H,Colorado,CO,6.0,DENVER,CO,80247.0,2018,19-SEP-18,2018,201809199122008473
16,H8IA04163,"PETERSON, EDWARD",No Party Affiliation,NPA,House,H,Iowa,IA,4.0,ESTHERVILLE,IA,51334.0,2018,19-SEP-18,2018,201809199121989207
17,H2WY00133,"CUMMINGS, DANIEL CLYDE",Constitution Party,CON,House,H,Wyoming,WY,0.0,CASPER ,WY,826021069.0,2018,19-SEP-18,2018,201809260300229922
18,H8TN04123,"STEELE, RUSSELL WAYNE MR.",Independent,IND,House,H,Tennessee,TN,4.0,FAYETTEVILLE,TN,37334.0,2018,15-SEP-18,2018,201809159121719706
19,H8NY03185,"SLUESTKY, VICTOR",Green Party,GRE,House,H,New York,NY,3.0,NEW HYDE PARK,NY,11040.0,2018,14-SEP-18,2018,201809149121717656
